word,definition,translation
xanthopsydracia,,[医] 黄脓皮病
Xanthopsylla cheopis,,"[医] 印鼠客蚤, 开皇客蚤, 鼠疫蚤, 印度鼠蚤"
xanthopterin,,"黄蝶呤, 2-氨基-4, 6-二羟基蝶呤"
xanthopterine,,[建] 黄蝶呤
xanthopuccine,"n. One of three alkaloids found in the root of the\n   yellow puccoon (Hydrastis Canadensis). It is a yellow crystalline\n   substance, and resembles berberine.",[医] 坎那丁(一种北美黄连硷)
xanthopurpurin,,"(=purpuroxanthin)1, 3-二羟基蒽醌"
xanthoresinotannol,,黄树脂单宁醇
xanthorhamnin,"n. A glucoside extracted from Persian berries as a\n   yellow crystalline powder, used as a dyestuff.",黄色鼠李苷
xanthorhamnine,,(用伊朗或土耳其产的一种浆果制成的)黄色色素(染料)
xanthorrhiza,,(=xanthorhiza)黄根树
xanthorrhoea,,"[医] 澳洲香树, 香树脂"
Xanthorrhoeaceae,,[网络] 刺叶树科；黄脂木科；草树
Xanthorroea,,[网络] Xanthorrhoea
xanthorthite,,黄褐帘石
xanthorubin,,[医] 血清黄色素(肝切除后血清内所见)
xanthos,plural of xantho,(xantho 的复数) 扇蟹属
xanthosarcoma,,"[医] 黄肉瘤, 黄髓瘤"
xanthoscillide,,黄海葱苷
xanthosiderite,,n. 黄针铁矿
xanthosine,,黄(嘌呤核)苷
"xanthosine (X,Xao)",,[化] 黄苷; 黄嘌呤核苷
xanthosine monophosphate,,[化] 黄苷酸; 黄苷一磷酸
xanthosis,n an abnormal yellow discoloration of the skin,"n. 黄肤症, 黄变病"
xanthosis diabetica,,[医] 糖尿病性黄皮症
xanthosis of septum nasi,,[医] 鼻中隔黄变症
xanthosoma,, [医]黄体芋属
Xanthosoma atrovirens,,[网络] 暗绿叶黄体芋
Xanthosoma sagittifolium,,[网络] 千年芋；箭叶黄体芋；马兰加块茎
xanthospermous,a. Having yellow seeds.,a. [植]有黄色种子的
xanthostemone,,"黄梗酮, 3-羟-4, 4-二甲-2-异丁基环己-2, 5-二烯-1-酮"
xanthostrumarin,,欧龙牙草苷
xanthothricin,,[医] 毒黄素
xanthotoxin,,花椒毒素
xanthotoxol,,花椒毒酚
xanthous,s of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,"a. 黄色的, 黄色人种的, 蒙古人种的\n[医] 黄的, 黄色的"
xanthoxenite,,黄磷铁钙矿
xanthoxin,,"n. [生化]黄氧素(光致氧化作用的产物, 在某些植物组织里起抑制生长的作用)"
xanthoxylene,n. A liquid hydrocarbon of the terpene series extracted\n   from the seeds of a Japanese prickly ash (Xanthoxylum pipertium) as an\n   aromatic oil.,花椒萜
xanthoxyletin,,黄木亭
xanthoxyli fructus,,[医] 花椒(果)
xanthoxylin,,"[医] 花椒素, 秦椒素"
xanthoxylone,,黄木素
Xanthoxylum,"n. A genus of prickly shrubs or small trees, the bark and\n   rots of which are of a deep yellow color; prickly ash.",n. 秦椒属植物
Xanthoxylum ailanthoides,,"[医] 老鸦椒, 樗叶花椒"
Xanthoxylum bungei,,[医] 花椒
Xanthoxylum Gmel.,,[医] 花椒属
Xanthoxylum piperitum,,"[医] 川椒, 秦椒"
Xanthoxylum schinnifolium,,[医] 崖椒
xanthsiderite,,针铁矿
xanthumin,,苍耳明; 苍耳酯
xanthurenic acid,,[医] 黄尿烯酸
xanthuria,,[医] 黄嘌呤尿
Xanthus,,n. 克桑托斯（土耳其古城）
xanthydrol,,"(=9-hydroxyxanthene)吨氢醇, 9-羟基吨"
xanthydrol reaction,,[医] 黄嘌呤醇反应(见于尿毒症组织)
xanthydryl,,[化] ┷吨氢基
xanthyl,,"(=xanthenyl)吨基, 氧(杂)蒽基"
xanthyletin,,美洲花椒素
xanthylic,,[医] 黄嘌呤的
xanthylic acid,,[化] 黄苷酸; 黄苷一磷酸\n[医] 黄[嘌呤核]甙酸
xanthylic-nucleic acid,,"[医] 黄嘌呤核酸, 黄尿环核酸"
xanthylium,,吨
xanthylium uranyl chloride,,[化] 氯化┷吨┹铀铣
xanthyrone,,丙烯基吡喃酮
Xantippe,,"n. 粘西比(苏格拉底之妻), 悍妇, 泼妇"
xantorubin,,血清黄色素
Xantusiidae,n. night lizards,夜晰科
Xanxus,That one scary ass man with the vilest glare known to man and the scars that put Harry Potter to utter shame.\n> Xanxus scares the shit out of anyone.\n,
xapuri,, [地名] [巴西] 沙普里
xarm,,横臂
xaser,,n. 射线激射器
xat,,n. 为纪念死者的雕刻柱
Xaverian Brother,,【宗教】天主教沙勿略会教士
Xavi,,哈维 （西班牙足球运动员）
xavier,n. Spanish missionary and Jesuit who establish missionaries in Japan and Ceylon and the East Indies (1506-1552),n. 泽维尔（男子名）
Xavier University,"Xavier University is a small Catholic school in Cincinnati Ohio. Though the size is small, it has an awesome basketball team. Students there are intelligent and very friendly. Though it is not the biggest party school, student still know how to have fun and have plenty of it. People are generally laid back and know how to maintain a good balance between academics and fun. It is well known and has a great reputation in the midwest, but due to its size, it is not known all over. \n> Example: Person 1: Where do you go to school?\n> 2: Xavier University\n> 3: Oh they have a good basketball team right?\n> 4: Yeah its a really good school\n",
xaxa,, [医]阿司匹林，乙酰水杨酸，醋柳酸，醋酰基水杨酸[解热镇痛药，抗凝血药]
xaxaxa,The most retarded yet the funniest way to laugh.\n> American Dude : Nigga stole my bike\n> Russian Dude : xaxaxa\n,
xb,,abbr. crossbar 纵横开关; 交叉棒; 闩; exploding bridgewire 爆炸桥丝点火器（代号）
XBL,"Xbox Live. Unlike [WoW], it's fun, and not only dorks play it, but real people do too. You CAN go on XBL and still keep your dignity. Only stupid thing about it is (like WoW) it costs money, but it is much cheaper and you get a much longer free trial\n> Did you know [Jack Black] has xbl?\n",
xbone,"Microsoft's third console. The xbox, the 360, the xbone. 1. Xbox (sixth generation) 2. Xbox 360 (seventh generation) 3. Xbox One (eighth generation).\n> Her: Hey, have you heard about the xbone? It sounds a lot like a $500 voice-activated TV remote.\n> Him: I guess that's what happens when the brain dead with sub-human IQ take over your marketing department?\n",
Xbot,xbox fanboys,
xbox,,n. 微软游戏机
xbox fanboy,"Normally a 12 year old who has never played a video game prior to HALO, and believes its the best system ever just because they think HALO is the best game ever.\n> I don't care if the XBOX  has only 3 good exclusives....XBOX pwns PS2/NGC because it has better graphics !\n",
xbox live,"Playing games online is fun.. but if you have children in your game. it turns out to be the ""World Rapping Contest""\n> Little billy was rapping on the mic.\n> So, i cut out his esophagus.. and hung him with it\n",
Xbox Live Dick,"A person of mediocre/ average skill who feels the need to inflate their ego and claim to be good at every game challenged at. They attack unprovoked, throwing insults and curses towards anyone who slightly opposes them or kills them. Once they realize they aren't good enough to defeat a certain player, they resort to racial slurs and babble to annoy the opposing player. An Xbox Live Dick's bio is usually with sentences like "" I'm unstoppable at Halo 3"" or "" I'm MLG at Call of Duty 4"" and deragatory remarks towards women. Xbox Live Dicks infest the confines Gears of War 2 and can be easily found anywhere there is an Execution match going on.\n> *Xbox Live Dick's Bio*\n> ________________\n> Whad' up? This is Tre bitches. I play Gears of War 2, Halo 3 and Cal of Duty 4 and destroy noobs all day. I bus' that ass on Gears and I beat up my bitch's coochie all day baby. I'm MLG so send me an invite if you want to get smashed. Word out.\n",
Xbox Live Sex,"When people talk excessively in the lobbies of Xbox Live games.\n> Dude, can we quit having Xbox Live sex and start the game?!\n",
Xbox One,the newest turd that microsoft shit out of thier asses.it makes the wii u look like a masterpiece. it is the one way to multitask. it is also nightquil. this is also so big that i will need to remodel my house to fit it through my front door. it is the new definition of shit.it is also full of fat cardinals.\n> i just took a xbox one in the bathroom. it might be a little stinky.please turn on the fan.\n,
xbr,,abbr. experimental breeder reactor 实验性增殖反应堆（代号）
xbxx,"So you got bored with typing in pornhub all the time and you were looking for an even faster way to access the latest and greatest videos, so you found xnxx. However in the heat of the moment you made a disgraceful mistake and typed in xbxx... Shame on you friend\n> You: Yo bro check this cool website, it's called xbxx... Friend: you dumb or something? It's called xnxx...\n",
xc,n the cardinal number that is the product of ten and nine\ns being ten more than eighty,abbr. 电抗；电容（Capacitive Reactance）
xCalizorz,Probably the best Gaming Commentator on Youtube. Known for his life commentaries since CoD 4. He's holding a 4 KD while using shitty weapons like the [Brolympia] in Black Ops. Furthermore he was the first one doing the [RTC].\n> Person A : Did you see xCalizorz worldrank in domination?\n> B: NICE\n,
xcg,,abbr. experimental cargo glider (naval symbol) 实验运载滑翔机（海军符号）（代号）
xci,s being one more than ninety, [医][=X chromosome inactivation]X染色体失活
xciii,s being three more than ninety,num. 罗马数字 93
xcit,,abbr. excitation 刺激; 兴奋; 激动; 激励
xcl,s being ten more than one hundred eighty,abbr. excess current liabilities 短期债务逾额（代号）
XCOPY,,"[计] DOS外部命令:是对COPY命令的加强\n             如果需要拷贝包含所有子目录在内的整个目录, 使用该命令是很方便的"
xcore,"A suffix used to emphasise the extreme properties of just about any adjective, noun, verb, or even meaningless words.\n> 1: Adam is emoxcore (Adam is overly emotional)\n> 2: I'm sad. SADXCORE! (I'm very sad)\n> 3: WOO! SNOWXCORE! (We had a lot of snow last night)\n> 4:\n> Crybaby: My dad won't let me drive his new car so I'm going to cut myself.\n> Guy who's smartxcore:\n> CRYCRYXCORE! (""Man, no one cares"")\n",
xcr,,abbr. Crystal Controlled Receiver 晶体控制接收机
xcu,,abbr. excuse 原谅; 申辩; extra-care unit 特别护理单元（代号）; extreme close-up 大特写镜头
xcut,,"(=cross-cut)横割, 横切, 剖面, [矿]横巷, X切割(垂直于X轴的石英晶体截割法)"
xcv,s being five more than ninety,num. 罗马数字 95
xcviii,s being eight more than ninety,num. 罗马数字 98
xd,,abbr. 无红利（ex-dividend）
xda,,abbr. 扩展设计架构（Xtended Design Architecture）；多普达
XDDDDDDDD,A smiley similar to XD. Every D added to its end adds to its greatness.\n> skullfire: Wasup biatch!\n> EotT: XD!\n> skullfire: XDDDDDDDD!\n,
Xdisease,,牛中毒性角化病
XDR,,外部数据表示协议
xdr-tb,,n. extensively drug-resistant tuberculosis （广泛耐药性结核）
xds,,abbr. 实验发展规格（Experimental Development Specification）；扩展数据服务（external Data Representation Protocol）；静电复印数据系统（Xerox Data System）
Xe,n a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts,[医] 氙(45号元素)
xebe,,(地中海沿岸的)三桅帆船
xebec,"n. A small three-masted vessel, with projecting bow stern and\n   convex decks, used in the Mediterranean for transporting merchandise,\n   etc. It carries large square sails, or both. Xebecs were formerly armed\n   and used by corsairs.",n. 三桅小帆船
XEDIT,,[计] 系统产品扩展编辑程序
xel,,abbr. extensible engineer language 可扩展工程师语言（代号）; XeCl excimer laser 氯化氙准分子激光器
Xeliminator,,静电消除器
xellie,"  An assassin cross on the game called Ragnarok Online.  Leader of the guild Valhalla.  She is known for often throwing false accusations, back stabbing people, and whining a lot when she doesn't get her way.  Somehow she made it into alliance with Denuo Convena, even though they made fun of her.  She used to date a GM resulting in him bestowing items upon her.  \r\n  The obsession with Angel Eyes started a bit ago.  A few years back she was in alliance with Konoha Nins, Angel Eyes, and Entranced.  But after their econ had been broken, Konoha Nins was the one to take back the emperium.  Xellie did not like how it wasn't her emblem on the flag, so she PMed other guilds asking them to rush their econ and break the emp.\r\n  She is often called a horse, mostly by people she has been rude to.  If she was nice to people, she wouldn't be made fun of so much.  She broke up with her GM boyfriend after she had gotten a bunch of ONLINE GAME items out of him.  Watch out for her obsession with saying ""you have hax"" \n> Xellie: break the emp, break it! break it in 20 seconds!\n> Xellie: Angel Eyes hax! Angel Eyes hax! Angel Eyes Angel Eyes Angel Eyes Angel Eyes! GM HELP!\n> Random Person: I never knew why people hated her till she started accusing me of hacks with no proof or anything.\n> Parson: Oh wow, looks like she ""won"" another ragnarok contest.\n",
xeme,n. An Arctic fork-tailed gull (Xema Sabinii).,n. [鸟]北极鸥
Xemnas,"1. An anagram for ""mansex.""\r\n2. Leader of Organization XIII.\n> Xemnas = Mansex.\n> Kind of like how Xigbar's name can be rearranged to Bigrax.\n",
Xemobile,"(noun) [zee-moh-beel] 'Xemobile' refers to any large Sports Utility Vehicle, usually dark in color.\n\nOriginating from Western contractor's penchants in Iraq and Afghanistan for driving big, sometimes armored, SUVs during the course of their operations, Xe being the former Blackwater Security company and one of the largest in operations within the theater.\n\nMany contractors drive these vehicles in highly agressive manners and have illusions of being superheros while behind the wheel due to the unregulated power these contractors often wield. Thus much like Batman and his Batmobile Xe contractors have their Xemobiles.\n> Example 1:\n> Contractoer 1: ""Dude what vehicle are we using for the resupply run?""\n> Contractor 2: ""Xemobile #24"" pointing to the 3rd black Suburban in line.\n> Example 2:\n> Dude 1: ""Wow nice Expedition! Whose is it?""\n> Dude 2: ""That's my Xemobile man! I got it when I got a riase last month.""\n",
xen,,abbr. Xenia 种子直感，异粉性; Xenos （希腊语）陌生（的）
xen-,,pref. 外来的；陌生的；异质的（等于xeno-）\nn. (Xen)人名；(老)森
xena,,n. 齐娜（行星名称）
"Xena, Warrior Princess","A Badass~Kickass TV show of Fast~Paced High~Energy Adventure starring Lucy Lawless of Australia!\n> [Xena, Warrior Princess] is one of the Best shows Ever!\n",
Xenarthra,n. armadillos; American anteaters; sloths,异关节类
xenate,,n. [化]氙酸盐
xenazoic acid,,[化] 珍那佐酸; 联苯酰胺苯酸
xenbucin,,[化] 联苯丁酸
xenelasia,"n. A Spartan institution which prohibited strangers from\n   residing in Sparta without permission, its object probably being to\n   preserve the national simplicity of manners.",n. 抗拒外人的条例
xenembole,,"(=xenembole)异物导入, 异物侵入"
xenene,,[化] 联苯
xenenthesis,,"[医] 异物导入, 异物侵入"
xenia,pl.  of Xenium,[医] 种子直感
Xenia Onatopp,"An extravagant exotic character, Xenia Onatopp makes a visually stunning villainess. Georgian, former Soviet fighter pilot, this seductive femme fatale enjoys killing, and where possible gets much pleasure out of strangling her lovers in the bedroom. Putting a seductive, sexually suggestive twist on most aspects, Xenia also enjoys fast cars, cigars and winning – something she becomes increasingly annoyed at when she loses to James Bond on a number of occasions.\n> Xenia Onatopp visits Bond's hotel where she tries to kill him using her favorite method – strangulation of her lover/victim with her thighs. After Bond gains the upper hand, he instructs her to take him to Janus.\n",
Xenia Zaragevna Onatopp,"From the bond movie ""Goldeneye"".  She is a sexy female henchman who could put a tight squeeze around her victims with her legs.  Squeezing them to death\n> Xenia: Xenia Zaragevna Onatopp\n> Bond: .....Onatopp?\n> Xenia:.....Onatopp.\n",
xenial,,a. 异花受粉的
xenic acid,,[化] 氙酸
xenical,, [医]赛尼可（含orlistat）<减肥药>
Xenicidae,,[网络] 异鹩科；鹪鹩
Xenicus,,[网络] 异鹩属；鹪鹩类；刺鹩属
Xenicus gilviventris,,[网络] 石异鹩
xenidium,,胶合板
xenity,,种子直感现象
xenium,"n. A present given to a guest or stranger, or to a foreign\n   ambassador.",n. 赠与宾客的礼物
XENIX,,[计] 以UNIX为基础的操作系统
xeno,,abbr. xenophobe 仇外; xenophobia 仇外; xenogenic 异种的; xenolithic 外来石的
xeno-,,"表示“陌生人”,“外国人”,“外来的”"
xenoantibody,,n. [生]异种抗体
xenoantigen,,n. [生]异种抗原
xenoantiserum,,n. [生](异种抗体中富有的) 异种抗血清
xenobiology,,"n. 外(层)空(间)生物学,宇宙生物学"
xenobiosis,,宾主共栖
xenobiotic,,n. & adj.(药物、杀虫剂、致癌物等)异型生物质(的)
xenobiotics,,宾主共栖生物
xenoblast,,他形变晶
xenocentric,,a. 喜爱外国之文化的
Xenocide,"The act of a member of one species purposefully causing the extinction of another species.\n> If a man wiped out all mosquitos, he would have commited xenocide.\n",
xenocracy,,n. 外国人统治集团
Xenocrates,,n. 齐诺克雷蒂（古希腊哲学家）
xenocryst,,n. [矿]捕获晶
xenocurrency,,n. (在原发行国域外流通的)国外货币
xenocyanine,,异花青染料(一种红外增感剂)
xenocytophilic,,嗜异种细胞的
xenodiagnosis,,"n. 异体接种诊断法, 病媒接种诊断法\n[医] 动物接种诊断"
xenodiagnostic,," [医]异体接种诊断的, 宿主诊断的"
xenodocheionology,,关于旅馆、客栈方面的经验知识
xenodocheum,,"n. (=xenodochium)接待外人之旅馆, 旅馆"
xenodochium,"n. A house for the reception of strangers.\nn. In the Middle Ages, a room in a monastery for the\n   reception and entertainment of strangers and pilgrims, and for the\n   relief of paupers. [Called also Xenodocheion.]","n. (中世纪时收容香客,异乡人,病人的)救济院"
xenogamous,,a. 异花受粉的
xenogamy,n. Cross fertilization.,n. 异株异花受粉
xenogears,a Squaresoft RPG (role playing game) for the Sony Playstation; most intellectually stimulating and emotionally deep RPG ever made; \n> People need to play Xenogears in order to understand Xenosaga; quit bashing on Episode I already -_-!\n,
xenogeneic,a denoting or relating to cells or tissues from individuals belonging to different species,"a. [生]异种的, 异基因的"
xenogenesis,n the alternation of two or more different forms in the life cycle of a plant or animal,"n. 自然发生, 世代交替, 亲子异型\n[医] 世代交替, 异配生殖, 亲子异形"
xenogenetic,"a. Of or pertaining to xenogenesis; as, the xenogenetic\n   origin of microzymes.","a. 自然发生的, 世代交替的"
xenogenic,,"异种的, 异基因的"
xenogenites,,后成矿床
xenogenous,,"由体外原因发生的, 体外性的, 异体的"
xenogenous siderosis,,[医] 异物性铁质沉着
xenogeny,,"n. [生物] 自然发生, 世代交替"
xenogiology,,外太空生物学
xenoglossia,,n. (自称具有的)讲陌生语言的能力
xenograft,n tissue from an animal of one species used as a temporary graft (as in cases of severe burns) on an individual of another species,n. 异种皮移植
xenografts,plural of xenograft\nn tissue from an animal of one species used as a temporary graft (as in cases of severe burns) on an individual of another species,(xenograft 的复数) n. 异种皮移植
xenoikic,,主客晶等嵌状
xenol,,"联苯酚, 苯基苯酚"
xenolalia,,n. (自称具有的)讲陌生语言的能力
xenolite,,重夕线石
xenolith,n. (geology) a piece of rock of different origin from the igneous rock in which it is embedded,"n. [地]捕虏体,捕虏岩(指火成岩中与其无成因关系的包体)"
xenolithic,,a. xenolith的变形
xenoliths,plural of xenolith\nn. (geology) a piece of rock of different origin from the igneous rock in which it is embedded,"(xenolith 的复数) n.[地]捕虏体,捕虏岩(指火成岩中与其无成因关系的包体)"
xenology,,氙测年法
xenomania,"n. A mania for, or an inordinate attachment to, foreign\n   customs, institutions, manners, fashions, etc.","n. 外国迷, 外国狂"
xenomenia,,"[医]代偿性月经, 异位月经"
Xenomorph,"Phase one - Egg, A soft  pod that contains Phase two of Xenomorph Development\r\n\r\nPhase two - Facehugger, A Spiderlike creature with a tail that implants an Embryo into the throat of the being it latched onto*, It's tail wraps around, and constricts the throat, so as to cause the victim to lose conciousness. Then, To prevent host death, It gives the host small amounts of oxygen from two sacs behind the legs of the Facehugger. Once the embryo is implanted, it sinks down into the upper chest of the host, where it gestates. As soon as the Embryo loses touch with the implantation 'tongue' of the facehugger, the facehugger detatches and dies. Then the Embryo grows into Phase three.\r\n\r\nPhase three - Chestburster, The Production of the embryo, it's name comes into play when it is fully grown. Where it digs/eats it's way through the hosts internal organs, bones, and chest, and 'bursts' out. Depending on the host, the Xenomorph may be of varied sizes immediately after birth. Human and Yautja Borne-Xenomorph chestbursters are relatively small, but Dog and cat, and soforth borne Xenomorphs grow until they no longer fit in the host's stomach, then they 'burst'. The Chestbursters gnerally take familiar traits from the host Humans 'give birth' to Xenomorphs with Humanly capabilities, such as Bipedalism. Once a Chestburster is born, It immediately looks to feed, once it has done so, It sheds it's chestburster skin and fully grows into Phase four.\r\n\r\nPhase four - Fully-Grown Xenomorph, Having fed and grown, It meets it's final stage of life. Now that it has inherited all the traits it needed to grow, It no longer changes. Depending on the physical abilities of the host, now factor into it's job in the colony. If it was born from a Marine, It would grow as a Warrior or a soldier, If it was born from something that was unemployed, or a working class person, It would be a Drone, a worker. Usually Xenomorphs born from lower life forms, such as dogs and cats, Are used as scouts and runners. Yautja-Borne Xenomorphs are usually cast out, or left unused by the Queen.\r\n\r\nClasses of Xenomorphs\r\n\r\nDrones#1: Singular Drones, Usually cast out, or first-births**, They aren't used to Hive work, and usually make their own mock hives, for food.\r\n\r\nHive Drones#4/5: Drones are workers, they secrete the hive. They follow the exact orders given to them, even if it includes harming the queen. They will also harm others of theirs, if it is necessary to follow the queens orders.\r\n\r\nRunners#3: Lower-births**, they are sent out to scout out more places to expand the hive, and report to the queen, as she is immobile. They have thinner bones, but stronger appendage muscles*** To help them run. But as it also seems, it helps them capture prey if necessary.\r\n\r\nSoldiers#6: Extremely powerful muscles, and thicker bones, to make them powerful to destroy, But it also slows and weighs them down. They are not protectors by any means, They are sent to make war against deadlier threats. Usually they aren't even birthed, because the Xenomorph's usually assimilate everything, instead of destroy it.\r\n\r\nWarriors#2: The bridge between drones and Soldiers, They protect and fight for the queen. They have thicker bones and stronger muscles, but not as thick or strong as the Soldier, to balance them out.\r\n\r\nPrætorians - seven are born, and protect the queen, nothing else. They are born after the queen, but live much longer, to protect the queens final-laid egg, her successor. They die out after the Praetorian eggs are born. They are bigger, stronger, somewhat undersized queens. They have powerful, small arms proof, skin.\r\n\r\nQueens#2/4/5 - The Largest Xenomorph, one of it's kind is birthed to a hive from the previous one. This is the complete Schbang, she gives birth to the eggs, and orders all of the Xenomorphs born, ALL OF THEM. She is secreted to an Egg chamber, where the Eggs come out from. However, if the situation calls for it, she can detatch from the egg laying device. Since she is noramlly secreted to the wall, she has little balance, and stutter-steps around when free.\r\n\r\n*-Queens and Prætorians have their own Special Facehuggers\r\n**-Born before a queen, casting them out of a hive.\r\n***-Born from a lower creature, like a cat, or a dog, or an Ox.\r\n#-Which movie the Xenomorph class was encountered\r\n1-Alien (1979)\r\n2-Aliens (1986)\r\n3-Alien3 (1992)\r\n4-Alien Resurrection (1998)\r\n5-Alien Versus Predator (2004)\r\n6-Alien Versus Predator: Requiem (2007)\n> ""Come on! Is that the best you can do ya fucker!"" ~ Dillon, Alien3\n> ""I 'ate bugs!"" ~ Morse, Alien3\n> ""I like to keep this handy, for close encounters,"" ""Amen,"" ~ Conversation between Corporal Dwayne Hicks and Private Hudson, Aliens\n> ""Something's fucking after us!"" ~ National guard soldier, Alien Versus Predator: Requiem\n> ""A Xenomorph may be involved""\n> ""It's a bug hunt,""\n",
xenomorphic,,a. [矿]他形的
xenon,n. a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts,n. 氙\n[化] 氙Xe
xenon fluoride,,[化] 氟化氙
xenon fluorides,,[化] 氟化氙
xenon lamp,,[计] 氙灯
xenon monohalide,,[化] 一卤化氙
xenon oxide,,[化] 氧化氙
xenon oxyfluoride,,[化] 氟氧化氙
xenon platinum hexafluoride,,[化] 六氟合铂酸氙
xenon tetrafluoride,,[化] 四氟化氙
xenon trioxide,,[化] 三氧化氙
xenoparasite,,异常寄生物
Xenophanes,n Greek philosopher (560-478 BC),色诺芬尼(公元前6世纪的希腊哲学家、诗人)
xenophile,,"n. 喜爱外国人及其文物者, 亲外者"
xenophobe,,"n. 畏惧和憎恨外国人的人\n[法] 仇视外国人, 恐惧外国人者, 害怕生人者"
xenophobia,n. a fear of foreigners or strangers,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨\n[医] 生客恐怖"
xenophobic,s. suffering from xenophobia; having abnormal fear or hatred of the strange or foreign,"a. 畏惧和憎恨外国人的\n[法] 仇外的, 恐惧外国人的"
xenophobic racism,,[法] 仇外的种族主义
xenophobics,plural of xenophobic\ns. suffering from xenophobia; having abnormal fear or hatred of the strange or foreign,"(xenophobic 的复数) a. 畏惧和憎恨外国人的\n[法] 仇外的, 恐惧外国人的"
Xenophon,n. Greek general and historian; student of Socrates (430-355 BC),"色诺芬(约公元前434-前355, 希腊将军, 历史学家, 著有《长征记》一书)"
xenophonia,,[医] 音调变异
Xenophons,plural of Xenophon\nn. Greek general and historian; student of Socrates (430-355 BC),"(Xenophon 的复数) 色诺芬(约公元前434-前355, 希腊将军, 历史学家, 著有《长征记》一书)"
xenophthalmia,,异物性眼炎
Xenophyophorida,,异生目
xenoplastic transplantation,,[医] 异种移植术
Xenopneusta,,异吸目
Xenopodidae,,[网络] 科为爪蟾科；非洲有爪蛙
xenopsin,,[化] 爪蟾肽
Xenopsylla,,[医] 客蚤属
Xenopsylla brasiliensis,,[医] 巴西客蚤
Xenopus,n an African clawed frog; in some classifications made the type genus of a separate family Xenopodidae,[医] 非洲蟾蜍属
Xenopus laevis,,[医] 有爪蟾蜍(供妊娠试验用)
Xenopus test,,[医] 非洲蟾蜍试验(用雌的非洲的有爪蟾蜍检孕)
Xenorhyncus,,[网络] 澳洲鹳
Xenorhyncus asiaticus,,[网络] 黑颈鹳
xenosaga,,n. 异度传说（游戏名）
Xenosauridae,n. monotypic family of Mexican lizards,异蜥科
Xenosaurus,,[网络] 细长墨西哥蜥蜴
xenothermal,,浅成高温的
xenotime,n a brown-to-yellow mineral that is a phosphate of yttrium in crystalline form,n. [矿]磷钇矿
xenotopic,,他形晶
xenotransplant,n. a surgical procedure in which tissue or whole organs are transfered from one species to another species,n. 异种器官移植
xenotransplantation,n. a surgical procedure in which tissue or whole organs are transfered from one species to another species, 异种移植
xenotropic,,"a. [微](病毒)向异的,亲异的"
xenotype,,[医]异型
Xenthia Rising Productions,"The multi-faceted production company created by [Kelli Klymenko]. Xenthia Rising Productions focuses on the visionary arts, publishing occult and obscure literature and producing motion pictures. \n> Xenthia Rising Productions has released titles such as, '[Finding Angels]' the novel, 'Spirits, The Photography of [Kelli Klymenko]', 'A Journey with Spirit', 'Girls', 'Spellbound's Complete Book of Spells, Rituals and Formulas', 'Vade Mecum', 'Nemesis, The Visual Collection' and more.\n",
xenthiorate,,一种降胆固醇的药
Xenu,"Xenu is the one that $cient0l0gists fear and hate most. They claim that he is the cause of everything bad in the world because he nuked a bunch of people in an Earth volcano, then trapped the souls of everyone he nuked with sticky fly paper-like material, then made all the souls watch a 3D movie and finally released them back on to earth where they go around attaching themselves to humans causing them pain.  $cient0l0gy makes their money by brain washing people into believing this crap and having themselves ""audited"" of these spirits which are called ""thetans"".  $cient0l0gists also believe that eating asparagus will prevent thetans from infecting you.\r\n\r\nXenu is also the one who will provide all the [Wog]s with mecha to destroy $cient0l0gy!\r\n\r\nmore information: www.xenu.net\n> I am an agent of Xenu.\n> XENU!!! WWWWWWOOOOOOOOOOOGGGGGG!!!!!!!!\n> Man, I can't wait for Xenu to give us our mecha so we can destroy that fucked up cult!\n",
Xenungulata,,异蹄目
xenyl,n. The radical characteristic of xenylic compounds.,[化] 联苯基\n[医] 联苯基
xenylamine,,苯基苯胺
xenysalate,,苯柳胺酯
xeon,,n. INTEL 至强处理器系列
xeponent,,幂
xeq,, [医][=execute]执行（计算机）
xer,s. being one more than nine,abbr. Xerox reproduction 静电印刷复制品
xer-,,表示“干燥”之义
xerad,,旱生植被
xeralf,,[地质]干热淋溶土
xeransis,,"n. 干燥, 除湿\n[医] 干燥, 除湿"
xeranthemum,n. any plant of the genus Xeranthemum native to southern Europe having chaffy or silvery flower heads with purplish tubular flowers,n. 一年生灰毛菊
Xeranthemum annuum,,[网络] 乾花菊；紫千年
xerantic,,"a. 除湿的, 使干燥的"
xeraphium,,"干燥粉, 除湿粉"
xerarch,,a. 在干旱地发展的
xerasia,,n. [医]干发病
xerasium,,旱涝演替
xerert,,季节性干旱变性土
xeres,n. Sherry. See Sherry.,n. 为Jerez的旧称
xeric,a. being deficient in moisture,"a. 干旱的, 环境干燥的, 耐旱的, 沙漠般的"
xeriscape,,"n. <主美>（不需灌溉的）节水型园艺, 节水型花园\nvt. 把…建成节水型花园"
xerium,,"干燥粉, 除湿粉"
xero,,n. 鑫元鸿（台湾公司名）
xero-,,表示“干燥”之义
Xerobates,,[网络] 沙漠龟
xerochasy,,干裂
xerocheilia,,[医] 唇干燥
xerochore,,无水沙漠区
xerocline,,旱坡
xerocole,,旱生植物
xerocollyrium,,干眼膏
