word,definition,translation
yard-arm,, 桁端
yard-arms,plural of yard-arm,(yard-arm 的复数)  桁端
yard-long bean,, 裙带豆
yardage,n. distance measured in the aggregate number of yards,"n. 车站旁牲畜栏的使用, 牲畜栏使用费\n[法] 站内栏舍的使用权, 使用站内栏舍的费用"
yardages,plural of yardage\nn. distance measured in the aggregate number of yards,"(yardage 的复数) n. 车站旁牲畜栏的使用, 牲畜栏使用费\n[法] 站内栏舍的使用权, 使用站内栏舍的费用"
yardang,,"n. [地]风蚀土脊,白龙堆"
yardangs,plural of yardang,"(yardang 的复数) n.[地]风蚀土脊,白龙堆"
yardarm,n. either end of the yard of a square-rigged ship,n. 桁端
yardarms,plural of yardarm\nn. either end of the yard of a square-rigged ship,(yardarm 的复数) n. 桁端
yardbird,n a military recruit who is assigned menial tasks\nn a person serving a sentence in a jail or prison,"n. 入伍新兵, 罚做杂务的士兵, 步兵, (美)(非正式)罪犯, 犯人\n[法] 未训练的新兵, 罪犯, 囚犯"
Yardbird Parker,,[网络] Yardbird派克
yardbirds,plural of yardbird\nn a military recruit who is assigned menial tasks\nn a person serving a sentence in a jail or prison,"(yardbird 的复数) n. 入伍新兵, 罚做杂务的士兵, 步兵, (美)(非正式)罪犯, 犯人\n[法] 未训练的新兵, 罪犯, 囚犯"
yardeni,, [人名] 亚德尼
yarder,n (used only in combinations) the height or length of something in yards\nn a winch (or system of winches) powered by an engine and used to haul logs from a stump to a landing or to a skid road,"蒸汽集材机, 集材绞盘机"
yardgrass,,un. 蟋蟀草\n[网络] 牛筋草
Yardie,n. member of an international gang of Jamaican criminals who sell drugs and violence,n. 亚迪（牙买加国际犯罪组织成员）
yardies,n. member of an international gang of Jamaican criminals who sell drugs and violence,n. 亚迪（牙买加人贩毒运毒集团成员）( Yardie的名词复数 )
yarding,,"堆置成方, 集材(机)"
yardland,"n. A measure of land of uncertain quantity, varying from\n   fifteen to forty acres; a virgate.","雅兰(英国古时面积单位, 通常为三十英亩)"
yardlands,"plural of yardland\nn. A measure of land of uncertain quantity, varying from\n   fifteen to forty acres; a virgate.","(yardland 的复数) 雅兰(英国古时面积单位, 通常为三十英亩)"
Yardley,,n. (Yardley)人名；(英)亚德利
yardman,n. worker in a railway yard\nn. a laborer hired to do outdoor work (such as mowing lawns),"n. 场地工作人员, 铁路车场工作人员"
yardmaster,n. a railroad employer who is in charge of a railway yard,n. 调车场场长
yardmasters,plural of yardmaster\nn. a railroad employer who is in charge of a railway yard,(yardmaster 的复数) n. 调车场场长
yardmeasure,,n. 码尺
yardmen,plural of yardman\nn. worker in a railway yard\nn. a laborer hired to do outdoor work (such as mowing lawns),"(yardman 的复数) n. 场地工作人员, 铁路车场工作人员"
yards,n a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride\nn the enclosed land around a house or other building\nn a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)\nn the cardinal number that is the product of 10 and 100\nn a unit of volume (as for sand or gravel)\nn a tract of land where logs are accumulated\nn an area having a network of railway tracks and sidings for storage and maintenance of cars and engines\nn a long horizontal spar tapered at the end and used to support and spread a square sail or lateen\nn an enclosure for animals (as chicken or livestock),n. 码数（yard复数形式）
yards of facts,,大量事实
yardsale,"When a skier or snowboarder eats it on the slopes and loses all of their gear.  If a skier loses his skies, poles, hat, goggles, and anything else, shout ""YARD SALE"" from the ski lift above him.\n> ""While the skier denied that he lost his skis and poles in the fall, everyone that saw it knew that in reality his fall was a classic yard sale""\n",
yardstation,,土方站
yardstick,n. a measure or standard used for comparison\nn. a ruler or tape that is three feet long,"n. 码尺, 计算标准, 准绳\n[法] 尺度, 衡量标准, 任何评判或比较的标准"
yardsticks,n. a measure or standard used for comparison\nn. a ruler or tape that is three feet long,"n. 比较或衡量的标准, 尺度( yardstick的复数形式 )"
yardwand,n. A yardstick.,n. 码尺
yare,n. Ready; dexterous; eager; lively; quick to move.\nadv. Soon.,"a. 敏捷的, 易于操纵的, 灵便的"
yared,, [人名] 亚雷德
yarely,adv. In a yare manner.,adv. yare的变形
Yaren,,亚伦[西太平洋岛国瑙鲁首都]
yaris,, [地名] [尼日尔] 亚里斯
yaritza,"Another term for a monkey. A BIG, HAIRY, monkey. It is said to be King Kong's great granddaughter. Was thought to be extinct after the death of King Kong, but no one knew that he fucked that one chick and she gave birth to a ""yaritza""\n> Person A: ""Why is there a monkey walking around town?""\n> Person B: ""That's not a monkey, it's a Yaritza.\n> Person A: ""I didn't know those existed...""\n> Person B: ""They do, King Kong fucked that one chick.\n> Person A"" Oh.""\n",
yariv,, [人名] 亚里夫
Yarkand,,"n. 莎车（中国新疆西部城市, 等于Shache, Yarkend）"
yarke,n. Same as Saki.,n. [动]狐尾猴
Yarm,,亚姆
yarmalke,,"n. (犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽"
yarmouth,,n. 雅茅斯（加拿大东南部港市、美国马萨诸塞州东南部城市）
yarmulka,n. a skullcap worn by religious Jews (especially at prayer),"n. （犹太男子在祷告, 学习, 吃饭等时戴的）圆顶小帽"
yarmulke,n. a skullcap worn by religious Jews (especially at prayer),"n. (犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽"
yarmulkes,plural of yarmulke\nn. a skullcap worn by religious Jews (especially at prayer),"(yarmulke 的复数) n.(犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽"
yarn,v. tell or spin a yarn,"n. 纱, 纱线, 故事\n[化] 纱"
yarn number,,纱线支数
yarn truss,,[医] 羊毛线疝带
yarn-beam,,n. 经轴
yarn-dye,v dye (fabric) before it is spun,vt. 在编织前染
yarn-dyed,v dye (fabric) before it is spun,a. 染织(纱)的
yarn-roll,,n. 卷经线的木轴
yarn-spinning,,[网络] 纱线纺纱
yarned,v tell or spin a yarn,vi. 讲故事（yarn的过去式与过去分词形式）
yarnell,, [人名] 亚内尔; [地名] [美国] 亚内尔
yarner,,n. (毛、丝、亚麻、棉、尼龙、玻璃等的)纱、纱线；(制绳索用的)粗纤维\nvi. 讲故事\nvt. 用纱线缠
yarning,v tell or spin a yarn,vi. 讲故事（yarn的现在分词形式）
yarnold,, [人名] 亚诺尔德
yarns,n the act of giving an account describing incidents or a course of events\nn a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving\nv tell or spin a yarn,n. 纱( yarn的名词复数 ); 纱线; 奇闻漫谈; 旅行轶事
yarns of Holmgren,,[医] 霍姆格伦氏彩线(检色彩视力)
yarnsmith,,"n. 编故事的人, 作家"
yaro,, [人名] 亚罗
yaron,,n. (Yaron)人名；(俄、德、以)亚龙
Yaroslav,,雅罗斯拉夫牛(乳用牛名称)
Yaroslavl,,雅罗斯拉夫尔[苏联西部城市]( 在伏尔加河畔)
yarovise,,v. 人工法使植物早熟
yarovization,,"春化作用, 春化处理"
yarovize,,vt.[植]使春化
yarr!,a word often used by pirates whenever they have experienced a loss or pain\n> Yarr!  My pirate's booty has been stolen.\n,
yarra,, [地名] [贝宁] 亚拉
yarram,, [地名] [澳大利亚] 亚勒姆
yarraman,,n. 马
yarran,,平展叶金合欢
yarrawonga,, [地名] [澳大利亚] 亚勒旺加
yarre,,山羊绒粗抢毛
Yarrella,,刀光鱼属
yarroshite,,镁水绿矾
yarrow,"n. ubiquitous strong-scented mat-forming Eurasian herb of wasteland, hedgerow or pasture having narrow serrate leaves and small usually white florets; widely naturalized in North America",n. 蓍草\n[医] 洋蓍草
yarrows,"plural of yarrow\nn. ubiquitous strong-scented mat-forming Eurasian herb of wasteland, hedgerow or pasture having narrow serrate leaves and small usually white florets; widely naturalized in North America",(yarrow 的复数) n. 蓍草\n[医] 洋蓍草
yaru,, [医][=Yale Arbovirus Research Unit]耶鲁大学虫媒病毒研究单位
yaruru,,(圭亚那)白坚木
yarwhelp,,n. <英方>=godwit[方言]
Yarwood,,n. (Yarwood)人名；(英)亚伍德
yary,, [地名] [俄罗斯] 亚雷
yas,,abbr. yaw-attitude sensor 偏航姿态传感器
yasar,, [地名] [肯尼亚] 亚萨尔
yasemin,, [电影]雅斯敏的故事
yasen,, [地名] [保加利亚] 亚森
yash,,n. (Yash)人名；(罗)亚什
yasha,, [电影]夜叉
yashmac,,双层面纱
yashmak,n. the face veil worn by Muslim women,n. 面纱
yashmaks,n. the face veil worn by Muslim women,n. 面纱；双重面纱
yasin,, [地名] [克什米尔（地区）] 亚辛
yasmeen,, [人名] 亚斯明，亚丝明（女名）
Yasmin,,n. 优思明（避孕药名）
yasmine,,n. 亚斯明（女子名）
Yasser,,n. (Yasser)人名；(阿拉伯)亚西尔
Yasser Arafat,,[网络] 阿拉法特；领导人阿拉法特；亚西尔·阿拉法特
yassin,, [人名] 亚辛
Yassir,,n. (Yassir)人名；(阿拉伯)亚西尔
yassky,, [人名] 亚斯基
Yassy,,雅西[罗马尼亚东北部城市]
yastrzemski,, [人名] 亚斯切姆斯基
yasuda,,n. (Yasuda)人名；(意)亚苏达
Yasuda methods,,[医] 安田氏法(测碘值)
Yasuda's method,,[医] 安田氏法(测碘值)
yasuko,,n. (Yasuko)人名；(日)安古(姓)
yasuo,,n. (Yasuo)人名；(日)保尾(姓)
yasuoka,, [地名] [日本] 泰阜
yat,,n. 雅特（品牌名）
yata,, [地名] [玻利维亚] 亚塔; [地名] [中非共和国] 亚塔河
yataghan,n. a long Turkish knife with a curved blade having a single edge,n. 穆斯林弯刀
yatalite,,阳起伟晶岩
yatanine,,雅胆宁
yatanoside,,雅胆苷
yatata,,n. <美俚>空洞无物的交谈
yate,n. A gate. See 1st Gate.,"n. 各种桉树, 桉树的木材"
Yate's algorithm,,[化] 耶特算法
Yates,,n. (Yates)人名；(英)耶茨
yathrib,, [地名] [沙特阿拉伯] 耶斯里卜（麦地那的旧称）
yatman,, [人名] [北方英格兰人姓氏] 亚特曼 Yate的变体
yatobyo,n a highly infectious disease of rodents (especially rabbits and squirrels) and sometimes transmitted to humans by ticks or flies or by handling infected animals,"[医] 土拉菌病, 兔热病"
yatoconin,,果糖磷酸钙注射 液
yatren,,"喹碘方, 药特灵(抗阿米巴药)"
yats,,abbr. yield analysis test site 生产[成品]率分析测试点
yatter,,v. <俚>瞎聊
yattered,past tense of yatter,(yatter 的过去时) v.<俚>瞎聊
yattering,-ing form of yatter,(yatter 的现在分词) v.<俚>瞎聊
yau,,n. 瑶族；邱（中文姓氏）
yauco,, [地名] [波多黎各（美）] 尧科
yaud,n. See Yawd.,n. 老而无用的(母)马
yauld,,"a. 活跃的, 敏捷的"
Yaunde,,=Yaoundé
yaup,v emit long loud cries,"n. 高声喊叫声, 喧嚷声\nv. 大声喊叫"
yauped,v. emit long loud cries,n. 喧嚷声；高声喊叫声\nvi. 大声喊叫
yauper,"n. One who, or that which, yaups.","vi., n. yawp的异体"
yauping,v. emit long loud cries,n. 喧嚷声；高声喊叫声\nvi. 大声喊叫
yaupon,"n. A shrub (Ilex Cassine) of the Holly family, native from\n   Virginia to Florida. The smooth elliptical leaves are used as a\n   substitute for tea, and were formerly used in preparing the black drink\n   of the Indians of North Carolina. Called also South-Sea tea.",n. [植]代茶冬青
yaupon holly,,[网络] 冬青
yaups,v. emit long loud cries,n. 喧嚷声；高声喊叫声\nvi. 大声喊叫
yautia,n tropical American aroid having edible tubers that are cooked and eaten like yams or potatoes,n. [植]箭叶黄体芋
Yauze,"A smelly, corny, tranny-fucking faggot from Bangladesh with more aliases than Vishnu. This waste of jizz often talks about sonning people to Bolivia.\n> ""Damn, that nigga Yauze lost!""\n> Yauze: ""U got sonned to Bolivia, [breh!]""\n> Random person: ""Nigga, you gay.""\n",
yava skin,,[医] 胡椒性象皮病
Yavapai,,[网络] 亚瓦佩统；亚瓦派；亚瓦帕人
yavapaiite,,斜钾铁矾
YAVIS,,"n. <美>年轻英俊、能说会道、 资质聪明、 事业发达的人, 雅斐士"
yaw,n. an erratic deflection from an intended course\nv. deviate erratically from a set course\nv. swerve off course momentarily,"vi. (船)偏荡, 偏航\nn. 偏航, 偏荡, 摇首"
yaw-meter,,"n. 偏航计, 偏流计"
yaw-root,,[医] 草乌臼(大戟科)
Yawata,,"八幡(原日本九州岛北岸港市,现为北九州市)"
yawed,imp. & p. p. of Yaw,"v. <术>（船）偏航, 偏离航线( yaw的过去式和过去分词 ); （飞机）偏航"
yawer,,偏航操纵机构; 偏航控制器
yawey,,a. 雅司病的
yawhead,,偏航传感器
yawing,v be wide open\nv deviate erratically from a set course\nv swerve off course momentarily,"n. 偏驶, 盘旋, 偏航"
yawkey,, [人名] 约基
yawl,n. a ship's small boat (usually rowed by 4 or 6 oars)\nn. a sailing vessel with two masts; a small mizzen is aft of the rudderpost,"n. 舰载小艇, 杂用船, 小帆船"
yawled,v. emit long loud cries,"n. 船载小艇, 杂用船, 小艇；三角帆纵帆帆船[参较 ketch]"
yawling,v. emit long loud cries,"n. 船载小艇, 杂用船, 小艇；三角帆纵帆帆船[参较 ketch]"
yawls,n. a ship's small boat (usually rowed by 4 or 6 oars)\nn. a sailing vessel with two masts; a small mizzen is aft of the rudderpost\nv. emit long loud cries,n. 船载小艇；小帆船
yawmeter,,n. 偏航计
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom\nv. utter a yawn, as from lack of oxygen or when one is tired","n. 哈欠\nvi. 打哈欠, 裂开\nvt. 打着哈欠说"
yawn pong,"A game played by tired people.  In short, one person yawns and then the other person does.  Should the original yawner yawn twice before the second person yawns once, player one has one point.\n> We played tweleve rounds of yawn pong last night.\n",
yawned,imp. & p. p. of Yawn,"v. 打呵欠( yawn的过去式和过去分词 ); 张开, 裂开"
yawner,n. a person who yawns,n. 哈欠；裂口 (yawn的变形)
yawnful,,a. 使人无聊得打呵欠的
yawning,s. gaping open as if threatening to engulf someone or something\ns. with the mouth wide open indicating boredom or sleepiness,"a. 打着呵欠的, 裂着大口的"
yawningly,adv. In a yawning manner.,"adv. 打呵欠地, 张大口地"
yawns,"n an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom\nv utter a yawn, as from lack of oxygen or when one is tired\nv be wide open","n. 乏味或枯燥的事物( yawn的名词复数 )\nv. 打呵欠( yawn的第三人称单数 ); 张开, 裂开"
yawny,,"a. 打呵欠的, 令人打呵欠的"
yawp,v. make a raucous noise,"vi. 大声叫嚷, 大声喊叫, 大发牢骚\nn. 粗声叫喊, 喊声, 蠢话"
yawped,v. make a raucous noise\nv. complain whiningly,n. 噪声；蠢话；喊叫\nvi. 大声叫嚷；大发牢骚
yawper,,"n. 吵闹的人, 出怨言者"
yawping,v make a raucous noise\nv complain whiningly,n. 叫嚷
yawps,v. make a raucous noise\nv. complain whiningly,n. 噪声；蠢话；喊叫\nvi. 大声叫嚷；大发牢骚
yaws,n an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions\nn an erratic deflection from an intended course\nv be wide open\nv deviate erratically from a set course\nv swerve off course momentarily,n. pl[医] 雅司病(人体内一种热带传染病)
yawweed,,美洲巴戟天
yay,n. a branch of the Tai languages,int. 哇（因高兴而欢呼）
yay area,Slang For The Bay area\n> You from the yay area?\n,
yaya,, [地名] [俄罗斯、刚果共和国、古巴] 亚亚
yayla,, [地名] [土耳其] 亚伊拉
yayo,, [地名] [乍得] 亚约
yayoi,,n. 弥生；柚楽弥衣；柚乐弘衣\na. 弥生时代的（具体指日本历史上约自公元前200年至公元200年）
yaz,,abbr. Tofino;  British Columbia;  Canada 加拿大; 不列颠哥伦比亚省
yazd,, [地名] [伊朗] 亚兹德
Yazoo,n a river that rises in west central Mississippi and flows southwest to empty into the Mississippi River above Vicksburg,n. 亚祖河(密西西比河支流之一)
Yazoo River,,[网络] 亚祖河；平行河流；帄行河流
yazumycin,,谷津霉素
Yb,n a soft silvery metallic element; a rare earth of the lanthanide series; it occurs in gadolinite and monazite and xenotime\nn a unit of information equal to 1000 zettabits or 10^24 bits\nn a unit of information equal to 1000 zettabytes or 10^24 bytes\nn a unit of information equal to 1024 zebibytes or 2^80 bytes,[医] 镱
yba,,abbr. Banff;  Alberta; Young Buddhist Association 佛教青年协会; Youth Basketball Association 青年篮球协会
ybarra,, [人名] 伊巴拉
ybco,,abbr. yttrium barium copper oxide 钇钡铜氧化物
ybd,,abbr. Y-branching device Y型分路器
Ybit,,[网络] 粘滞位
yc,,abbr. 云南商务管理体系（Yunnan Commodity和Yunnan Commerce的缩写）；重型橡套软电缆的一种型号
yclept,,a. 名叫...的
ycp,,abbr. yaw-coupling parameter 偏航耦合参数
ycs,plural of yc,(yc 的复数) abbr. 云南商务管理体系（Yunnan Commodity和Yunnan Commerce的缩写）；重型橡套软电缆的一种型号
ycw,,abbr. Chilliwack;  British Columbia;  Canada 加拿大; Young Christian Workers 青年基督教工人联盟
yd,,abbr. 码（yard）
ydc,,abbr. yaw-damping computer 偏航阻尼器计算机
ydder,,"abbr. [复数] yd, yds yard, yards"
YDG,"Updated Definition;\r\nThe origins of YDG have been discovered to be from Philip Manansala, guitarist of Of Mice & Men.\n\nYDG means Yadig!?\n> Don't get it twisted, Phil Manansala is the original, YDG?!\n",
YDI,"You deserve it.\n> Dude, you fucked your girlfriend in your mom's house, and the next morning your mom imitated your gf's moans? YDI.\n",
yds,,abbr. yards 码数
ydy,,abbr. 伊甸园论坛（Yi Dian Yuan）
ye," Alt. of Ye\n an old method of printing the article the (AS. /e), the ""y"" being\n   used in place of the Anglo-Saxon thorn (/). It is sometimes incorrectly\n   pronounced ye. See The, and Thorn, n., 4.\nn. An eye.\npron. The plural of the pronoun of the second person in the\n   nominative case.\nadv. Yea; yes.","abbr. 亚萨卡, 乒乓底板（Yasaka Extra）；酵母抽提物（Yeast Extracts）"
yea,"n. an affirmative\nr. not only so, but","n. 肯定, 赞成, 赞成票\n[法] 赞成票, 投赞成票者, 赞成者"
yea and,,更有甚者
yea and nay,,"犹豫不决, 优柔寡断\n[法] 是和否, 赞成和反对, 赞成和反对的票"
yea-sayer,,"n. 持肯定态度的人, (对人生)抱积极态度者, 唯唯诺诺者"
yea-saying,,"a. 抱积极态度的, 持肯定态度的"
yead,"The way [Tom DeLonge] pronounces the word, ""head"" in the [blink-182] song, ""[I Miss You].""\n> ""Don't waste your time on me, you're already a voice inside my yead.""\n> -Tom DeLonge\n",
Yeadon,,n. (Yeadon)人名；(英)伊登
yeager,,n. (Yeager)人名；(英)耶格尔\n耶格尔
yeagley,, [人名] 耶格利
yeah,"r not only so, but","adv. (非正式)是, 是的"
yeakel,, [人名] 耶克尔
yeaman,, [人名] [英格兰人姓氏] 伊曼 Yeoman的变体
yeamans,, [人名] 伊曼斯
yean,"v. t. & i. To bring forth young, as a goat or a sheep; to ean.",v. 产(小羊)
yeaned,imp. & p. p. of Yean,v. （绵羊或山羊）产小羊( yean的过去式和过去分词 )
yeaning,p. pr. & vb. n. of Yean,v. （绵羊或山羊）产小羊( yean的现在分词 )
yeanling,n. A lamb or a kid; an eanling.,"n. 小羊, 羔羊"
yeaple,, [人名] 耶普尔
year,"n. a period of time containing 365 (or 366) days\nn. a period of time occupying a regular part of a calendar year that is used for some particular activity\nn. the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun","n. 年, 年度, 年龄\n[经] 年度"
year after year,,"年复一年地, 年年, 每年"
year and a day,,[法] 满一年
year around,,"一年到头,终年"
year book,,[化] 年鉴
year by year,,"年年, 每年"
year dividend,,[经] 年终股利
year dot,, <英><非正><贬>很久很久以前
year end,,[经] 年尾
year in year out,,"年复一年地, 始终, 不断地"
year of account,,[法] 结算年
year of assessment,,[法] 评税年度
year of birth,,出生年
year of discretion,,"[法] 责任年龄, 成年"
year of entry,,[计] 输入年份
year of grace,,"[法] 宽限年限, 公元年, 西历年"
year of installation,,[计] 安装年份
year of the hare,,n. 兔年
year's purchase,,[经] 年购买值
year-and-a-day rule,,[法] 一年零一日原则
year-around,,n. 全年的
year-book,,"[计] 年鉴, 年刊"
year-books,plural of year-book,"(year-book 的复数) [计] 年鉴, 年刊"
year-by-year,,"a. 年年的, 每年的\nadv. 年年,一年一年地"
year-end,n. the end of a calendar year\ns. taking place at the close of a fiscal year,"a. 年终的\n[法] 年终, 年底; 年终的, 年底的"
year-end agjustment,,[经] 年终调整
year-end bonus,,"[经] 年终奖金(加薪,红利), 年终额外补贴"
year-end rate,,[经] 年终率
year-end report,,[法] 年终报告
year-end variance,,[经] 年终差异
year-end-bonus,,[法] 年终加薪
year-ends,plural of year-end\nn. the end of a calendar year\ns. taking place at the close of a fiscal year,"(year-end 的复数) a. 年终的\n[法] 年终, 年底; 年终的, 年底的"
year-long,,"a. 长达一年的, 一年之久的"
year-on-year,,a. [经]与上年同期数字相比的
year-round,a. operating or continuing throughout the year,"a. 一年到头的, 整年的"
year-round employment,,[经] 常年雇用
year-rounder,a operating or continuing throughout the year,"n. 整年定居于一处的人,常年工,常年使用之物"
year-to-date,,[计] 年到日
year-to-year change,,[经] 逐年变化
year-to-year comparison of financial statement,,[经] 财务报表的逐年比较
yearbook,n. a book published annually by the graduating class of a high school or college usually containing photographs of faculty and graduating students,n. 年鉴
yearbooks,n. a book published annually by the graduating class of a high school or college usually containing photographs of faculty and graduating students\nn. a reference book that is published regularly once every year,"n. 年鉴, 年报, 年刊( yearbook的复数形式 )"
yeared,a. Containing years; having existed or continued many years;\n   aged.,"n. ☉年(格里历一年有365天,闰年有366天) (calendar year 历年;civil year 民用年)[参较 common year, leap year]"
yeargan,, [人名] 耶尔根
yearley,, [人名] [英格兰人姓氏] 耶利 Yardley的变体
yearlies,,"每年的, 一年一度的( yearly的名词复数 )；每年, 一年一度"
yearling,n. a racehorse considered one year old until the second Jan. 1 following its birth\nn. an animal in its second year,n. 一岁崽
yearlings,plural of yearling\nn. a racehorse considered one year old until the second Jan. 1 following its birth\nn. an animal in its second year,(yearling 的复数) n. 一岁崽
yearlong,s. lasting through a year,"a. 持续一年的, 整整一年的"
yearly,n a reference book that is published regularly once every year\ns occurring or payable every year\nr without missing a year,"a. 每年的, 一年一度的\nadv. 一年一次, 每年"
yearly amount of working,,[化] 年度工作量
yearly budget,,[经] 年度预算
yearly increments,,[经] 年度增加额
yearly inspection,,[化] 年度检查; 年度检验
yearly installments,,[经] 按年分期付款
yearly load curve,,[计] 年负载曲线
yearly maintenance,,[化] 年度维护; 年度养护; 年度维修
yearly maximum load,,[化] 年最高负载; 年最高负荷
Yearly Meeting,,年会(基督教公谊会的行政单位)；(基督教公谊会的)年会会期
yearly output,,[计] 年产量\n[经] 年产量
yearly progress report,,[法] 进展情况年度报告
yearly renewable term,,"[经] 每年更新期, 每年续约期, (契约)按年度期"
yearn,v. have affection for; feel tenderness for,"vi. 渴望, 想念, 怀念, 同情"
yearn for,,渴望
yearn to,,"渴望,思慕,向往…"
yearn towards,,"想念, 向往"
yearned,imp. & p. p. of Yearn,"v. 渴望, 切盼, 向往( yearn的过去式和过去分词 )"
yearned-for,,[网络] 渴望；向往
yearner,n. a person with a strong desire for something,n. 向往型；思念者
yearners,plural of yearner,(yearner 的复数) n. 向往型；思念者
yearnful,a. Desirous.,"a. 充满思念的, 无限怀念的; 忧伤的"
yearning,n prolonged unfulfilled desire or need\nv desire strongly or persistently\nv have a desire for something or someone who is not present\nv have affection for; feel tenderness for,"n. 渴望, 热望, 怀念\na. 热望的, 渴望的, 怀念的, 向往的"
yearningly,adv. With yearning.,"adv. 怀念地, 思慕地, 同情地; 渴"
yearnings,"n. pl. The maws, or stomachs, of young calves, used as a\n   rennet for curdling milk.","n. 思念, 渴望( yearning的名词复数 )"
yearns,v desire strongly or persistently\nv have a desire for something or someone who is not present\nv have affection for; feel tenderness for,"v. 渴望, 切盼, 向往( yearn的第三人称单数 )"
yearold,,n. 一岁的;想念
years,"n a late time of life\nn a prolonged period of time\nn the time during which someone's life continues\nn a period of time containing 365 (or 366) days\nn a period of time occupying a regular part of a calendar year that is used for some particular activity\nn the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun\nn a body of students who graduate together",n. 年代；岁月；年；年龄
years ago,,多年前
years of peace and plenty,,太平丰收之年
yearsley,, [人名] 伊尔斯利
yearwood,, [人名] [英格兰人姓氏] 耶伍德 Yarwood的变体
yeas,n. an affirmative,"n. 肯定, 赞成( yea的复数形式 )"
yeasayer,,(对人生或事物)肯定者
yeast,n. a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey\nn. any of various single-celled fungi that reproduce asexually by budding or division,n. 酵母\n[化] 酵母
yeast adenylic acid,,[化] 酵母腺苷酸; 酵母腺嘌呤核苷酸
yeast autolysate culture-medium,,[医] 酵母自溶物培养基
yeast cake,,"发面饼, 鲜酵母块"
yeast extract,,"[医] 酵母浸出物, 酵母膏"
yeast filtrate factors,,"[医] 酵母滤过因子, 泛酸"
yeast fuagi,,"[医] 酵母菌, 酿母菌"
yeast infection,, = thrush (3)
yeast Lactobacillus casei factors,,"[医] 酵母干酪乳杆菌因子, 叶酸"
yeast meningitis,,[医] 酵母菌性脑膜炎
yeast milk,,[医] 酵母乳
yeast nucleic acid,,"[化] 酵母核酸; 酵母胞核酸\n[医] 酵母核酸, 核糖核酸"
yeast nuclein,,[医] 酵母核素
yeast poultice,,[医] 酵母泥罨
yeast powder,,发酵粉
yeast sera,,[医] 酵母血清
yeast water,,"[医] 酵母水, 酵母汤"
yeast water culture-medium,,"[医] 酵母水培养基, 酵母水"
yeast-bitten,a. A term used of beer when the froth of the yeast has\n   reentered the body of the beer.,a. 发酵过度的
yeast-like colony,,[医] 酵母样菌落
yeastcidin,,杀酵母素
yeasted,,酵母( yeast的过去分词 )；酵母菌；发面饼；发酵粉
yeastier,a. of or resembling or containing yeast\ns. marked by spirited enjoyment\ns. exuberantly creative,yeasty的比较级
yeastiest,a. of or resembling or containing yeast\ns. marked by spirited enjoyment\ns. exuberantly creative,yeasty的最高级
yeastiness,"n. The quality or state of being yeasty, or frothy.","n. 发酵, 起泡, 不安"
yeasting,,酵母( yeast的现在分词 )；酵母菌；发面饼；发酵粉
yeastlike,a of or resembling or containing yeast,a. 似酵母的
yeastone,,炼酵母
yeasts,n. a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey\nn. any of various single-celled fungi that reproduce asexually by budding or division,n. 酵母( yeast的复数形式 ); 酵母菌; 发面饼; 发酵粉\nv. 酵母( yeast的第三人称单数 ); 酵母菌; 发面饼; 发酵粉
yeasty,a. of or resembling or containing yeast\ns. exuberantly creative,"a. 酵母的, 起泡沫的, 浅薄的"
yeasty talk,,多而无内容的话
yeasty waves,,起着泡沫的浪
yeates,, [男子名] [北方英格兰人姓氏] 耶茨 Yate的变体
yeatman,, [人名] [北方英格兰人姓氏] 伊特曼 Yate的变体
yeatmanite,,锑硅锰锌石
yeats,n. Irish poet and dramatist (1865-1939),"n. 叶芝；耶茨（姓氏, 爱尔兰诗人及剧作家）"
yeatsian,a in the manner of William Butler Yeats,a. （爱尔兰诗人兼剧作家）威廉叶芝的; 威廉叶芝作品的
yeatsians,plural of yeatsian\na in the manner of William Butler Yeats,(yeatsian 的复数) adj. （爱尔兰诗人兼剧作家）威廉叶芝的; 威廉叶芝作品的
yebo,, 是；对
yecch,,"int. 哟（表示拒绝或厌恶, 等于yech）"
yecchy,,"-ier, -iest 令人讨厌的"
yech,,int. [表示拒绝或厌恶]哟
yechy,,a. <美俚>=yucky
yedda,,"(=yeddo)[植](产于日本和意大利)一种天然的不裂的秸杆, 可做帽子"
Yeddo,,[网络] 江户；伊豆
Yedo,,[网络] 江户；江户世纪；佳和娱乐城
yee,,n. 仪；绮（女子名）
yee-haw,,n. 咦嗬（表示欢呼的喊声）
yees,plural of yee,(yee 的复数) n. 仪；绮（女子名）
